cell_ID,CA_forest,x,y
1,1,14.996158,3.873002
2,1,14.996165,1.948701
3,1,14.996163,2.590141
4,1,14.996147,5.797216
5,1,14.996143,6.438594
6,1,14.996155,4.514418
7,1,14.996151,5.155824
8,0,14.996126,8.362624
9,1,16.276855,5.795777
10,0,16.278377,6.436994
11,1,14.356489,-5.106795
12,1,14.357088,-4.465429
13,0,14.355809,-5.748147
14,1,14.3584,-2.541272
15,1,14.358676,-1.899871
16,1,14.357606,-3.824053
17,1,14.358043,-3.182666
18,1,14.359026,0.024354
19,1,14.358983,0.665764
20,1,14.358873,-1.258466
21,1,14.35899,-0.617057
22,0,14.996096,10.927701
23,0,14.996088,11.568906
24,0,23.33614,-8.226719
25,0,23.381042,-10.130015
26,0,23.364995,-9.49563
27,1,23.300832,-6.323049
28,1,23.29116,-5.688424
29,0,23.323316,-7.592199
30,1,23.311549,-6.957641
31,1,23.907321,4.459831
32,1,23.915569,5.093443
33,1,23.894133,3.192538
34,1,23.900177,3.826195
35,1,23.946994,6.994101
36,0,23.959717,7.627582
37,1,23.924927,5.727028
38,1,23.9354,6.360582
39,1,25.137534,-0.607397
40,1,25.136963,0.023972
41,1,25.152666,3.180738
42,1,25.159532,3.812047
43,1,25.142668,1.918064
44,1,25.147046,2.549409
45,1,25.187645,5.705814
46,1,25.199541,6.337003
47,1,25.167647,4.443332
48,1,25.177016,5.074589
49,1,25.21271,6.968152
50,0,25.22716,7.599257
51,0,23.398183,-10.764349
52,0,23.35003,-8.861197
53,1,24.567178,-6.301145
54,1,24.556081,-5.668733
55,1,24.518346,-2.506252
56,1,24.514317,-1.873697
57,1,24.52991,-3.771314
58,1,24.523543,-3.138792
59,1,24.509217,0.024018
60,1,24.509842,0.656595
61,1,24.511454,-1.241131
62,1,24.509754,-0.608558
63,0,24.659191,-10.094708
64,0,24.640783,-9.462574
65,0,24.699782,-11.358792
66,0,24.678853,-10.726781
67,1,25.137628,0.655342
68,1,25.139529,1.286707
69,1,24.51163,1.289167
70,1,24.514582,1.921732
71,1,24.546885,5.084316
72,1,24.556882,5.716758
73,1,24.530442,3.819346
74,1,24.538074,4.451844
75,0,24.594045,7.61387
76,0,24.60885,8.246156
77,1,24.568069,6.349167
78,1,24.580455,6.981539
79,0,24.592971,-7.565854
80,1,24.579472,-6.93352
81,0,24.623617,-8.830385
82,0,24.607683,-8.198143
83,1,24.546174,-5.036289
84,1,24.537453,-4.403814
85,0,22.698732,-8.239528
86,0,22.686863,-7.604009
87,1,22.642078,-4.42594
88,1,22.635995,-3.790253
89,1,22.657104,-5.69725
90,1,22.649114,-5.061607
91,1,23.30161,6.371239
92,1,23.312406,7.005829
93,1,23.283144,5.101966
94,1,23.291858,5.736617
95,0,23.351129,8.909376
96,0,23.366175,9.543805
97,0,23.324252,7.640384
98,0,23.337158,8.274901
99,0,23.382305,10.178186
100,1,22.619303,0.024139
101,1,22.631215,3.202822
102,1,22.636423,3.838526
103,1,22.623631,1.931373
104,1,22.626952,2.567103
105,1,22.65775,5.745519
106,1,22.666775,6.381133
107,1,22.642579,4.474212
108,1,22.649687,5.109877
109,0,22.725435,-9.510448
110,0,22.711586,-8.875009
111,0,22.756152,-10.78119
112,0,22.740287,-10.145843
113,1,22.675973,-6.968454
114,1,22.666056,-6.332867
115,1,23.880894,0.65777
116,1,23.882568,1.291476
117,0,24.039111,-10.746209
118,0,24.020704,-10.112966
119,0,24.058704,-11.379392
120,0,23.972484,-8.212921
121,0,23.958711,-7.579478
122,0,24.00347,-9.479668
123,0,23.9874,-8.846319
